,file,accuracy,f1score,cosine,jaccard,logloss,person
51,ILSVRC2012_val_00036975.JPEG,0.8125,0.4,0.40824829046386313,0.25,6.758185010459466,1
52,ILSVRC2012_val_00039246.JPEG,0.75,0.6,0.6,0.42857142857142855,9.010913347279288,1
53,ILSVRC2012_val_00040002.JPEG,0.8125,0.4,0.40824829046386313,0.25,6.758185010459466,1
54,ILSVRC2012_val_00040676.JPEG,0.8125,0.4,0.40824829046386313,0.25,6.758185010459466,1
55,ILSVRC2012_val_00040913.JPEG,0.8125,0.5714285714285715,0.5773502691896258,0.4,6.758185010459466,1
56,ILSVRC2012_val_00041922.JPEG,0.875,0.7499999999999999,0.7745966692414834,0.6,4.505456673639644,1
57,ILSVRC2012_val_00046002.JPEG,0.875,0.6666666666666666,0.6666666666666666,0.5,4.505456673639644,1
58,ILSVRC2012_val_00049179.JPEG,0.5625,0.0,0.0,0.0,15.769098357738756,1
59,ILSVRC2012_val_00049472.JPEG,0.6875,0.0,0.0,0.0,11.26364168409911,1
60,ILSVRC2012_val_00001470.JPEG,0.75,0.0,0.0,0.0,9.010913347279288,2
61,ILSVRC2012_val_00003768.JPEG,0.8125,0.4,0.40824829046386313,0.25,6.758185010459466,2
62,ILSVRC2012_val_00003808.JPEG,1.0,1.0,1.0,1.0,2.220446049250313e-16,2
63,ILSVRC2012_val_00007306.JPEG,0.8125,0.4,0.40824829046386313,0.25,6.758185010459466,2
64,ILSVRC2012_val_00009634.JPEG,0.875,0.5,0.5,0.3333333333333333,4.505456673639644,2
65,ILSVRC2012_val_00010411.JPEG,0.8125,0.4,0.40824829046386313,0.25,6.758185010459466,2
66,ILSVRC2012_val_00014415.JPEG,0.75,0.5,0.5,0.3333333333333333,9.010913347279288,2
67,ILSVRC2012_val_00015178.JPEG,0.75,0.3333333333333333,0.35355339059327373,0.2,9.010913347279288,2
68,ILSVRC2012_val_00015410.JPEG,0.8125,0.0,0.0,0.0,6.758185010459466,2
69,ILSVRC2012_val_00017515.JPEG,0.8125,0.5714285714285715,0.5773502691896258,0.4,6.758185010459466,2
70,ILSVRC2012_val_00018867.JPEG,0.75,0.0,1.0,0.0,9.010913347279288,2
71,ILSVRC2012_val_00021683.JPEG,0.75,0.3333333333333333,0.35355339059327373,0.2,9.010913347279288,2
72,ILSVRC2012_val_00021882.JPEG,0.625,0.25,0.25,0.14285714285714285,13.516370020918933,2
73,ILSVRC2012_val_00023283.JPEG,0.75,0.0,0.0,0.0,9.010913347279288,2
74,ILSVRC2012_val_00023750.JPEG,0.875,0.5,0.5,0.3333333333333333,4.505456673639644,2
75,ILSVRC2012_val_00025106.JPEG,0.875,0.5,0.5773502691896258,0.3333333333333333,4.505456673639644,2
76,ILSVRC2012_val_00026219.JPEG,0.875,0.5,0.5,0.3333333333333333,4.505456673639644,2
77,ILSVRC2012_val_00030117.JPEG,0.8125,0.4,0.40824829046386313,0.25,6.758185010459466,2
