,file,accuracy,balacc,f1score,cosine,jaccard,logloss,person
43,ILSVRC2012_val_00023283.JPEG,0.875,0.5,0.0,1.0,0.0,4.505456673639644,Mads
44,ILSVRC2012_val_00023750.JPEG,0.75,0.42857142857142855,0.0,0.0,0.0,9.010913347279288,Mads
45,ILSVRC2012_val_00025106.JPEG,0.75,0.46153846153846156,0.0,0.0,0.0,9.010913347279288,Mads
46,ILSVRC2012_val_00026219.JPEG,0.875,0.5,0.0,1.0,0.0,4.505456673639644,Mads
47,ILSVRC2012_val_00030117.JPEG,0.75,0.5897435897435898,0.3333333333333333,0.33333333333333326,0.2,9.010913347279288,Mads
48,ILSVRC2012_val_00030263.JPEG,0.9375,0.75,0.6666666666666666,0.7071067811865475,0.5,2.252728336819822,Mads
49,ILSVRC2012_val_00030540.JPEG,0.875,0.5,0.0,1.0,0.0,4.505456673639644,Mads
50,ILSVRC2012_val_00030756.JPEG,0.9375,0.9666666666666667,0.6666666666666666,0.7071067811865475,0.5,2.252728336819822,Mads
51,ILSVRC2012_val_00036975.JPEG,0.8125,0.6282051282051282,0.4,0.40824829046386313,0.25,6.758185010459466,Mads
52,ILSVRC2012_val_00039246.JPEG,0.75,0.7090909090909091,0.6,0.6,0.42857142857142855,9.010913347279288,Mads
53,ILSVRC2012_val_00040002.JPEG,0.8125,0.6785714285714286,0.4,0.40824829046386313,0.25,6.758185010459466,Mads
54,ILSVRC2012_val_00040676.JPEG,0.8125,0.6282051282051282,0.4,0.40824829046386313,0.25,6.758185010459466,Mads
55,ILSVRC2012_val_00040913.JPEG,0.8125,0.7083333333333333,0.5714285714285715,0.5773502691896258,0.4,6.758185010459466,Mads
56,ILSVRC2012_val_00041922.JPEG,0.875,0.9230769230769231,0.7499999999999999,0.7745966692414834,0.6,4.505456673639644,Mads
57,ILSVRC2012_val_00046002.JPEG,0.875,0.7948717948717949,0.6666666666666666,0.6666666666666666,0.5,4.505456673639644,Mads
58,ILSVRC2012_val_00049179.JPEG,0.5625,0.34615384615384615,0.0,0.0,0.0,15.769098357738756,Mads
59,ILSVRC2012_val_00049472.JPEG,0.6875,0.39285714285714285,0.0,0.0,0.0,11.26364168409911,Mads
60,ILSVRC2012_val_00001470.JPEG,0.75,0.42857142857142855,0.0,0.0,0.0,9.010913347279288,Nicki
61,ILSVRC2012_val_00003768.JPEG,0.8125,0.6785714285714286,0.4,0.40824829046386313,0.25,6.758185010459466,Nicki
62,ILSVRC2012_val_00003808.JPEG,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,Nicki
63,ILSVRC2012_val_00007306.JPEG,0.8125,0.6282051282051282,0.4,0.40824829046386313,0.25,6.758185010459466,Nicki
64,ILSVRC2012_val_00009634.JPEG,0.875,0.7142857142857143,0.5,0.5,0.3333333333333333,4.505456673639644,Nicki
65,ILSVRC2012_val_00010411.JPEG,0.8125,0.6282051282051282,0.4,0.40824829046386313,0.25,6.758185010459466,Nicki
66,ILSVRC2012_val_00014415.JPEG,0.75,0.6666666666666667,0.5,0.5,0.3333333333333333,9.010913347279288,Nicki
67,ILSVRC2012_val_00015178.JPEG,0.75,0.5833333333333333,0.3333333333333333,0.35355339059327373,0.2,9.010913347279288,Nicki
68,ILSVRC2012_val_00015410.JPEG,0.8125,0.4642857142857143,0.0,0.0,0.0,6.758185010459466,Nicki
69,ILSVRC2012_val_00017515.JPEG,0.8125,0.7564102564102564,0.5714285714285715,0.5773502691896258,0.4,6.758185010459466,Nicki
70,ILSVRC2012_val_00018867.JPEG,0.75,0.5,0.0,1.0,0.0,9.010913347279288,Nicki
71,ILSVRC2012_val_00021683.JPEG,0.75,0.6428571428571428,0.3333333333333333,0.35355339059327373,0.2,9.010913347279288,Nicki
72,ILSVRC2012_val_00021882.JPEG,0.625,0.5,0.25,0.25,0.14285714285714285,13.516370020918933,Nicki
73,ILSVRC2012_val_00023283.JPEG,0.75,0.42857142857142855,0.0,0.0,0.0,9.010913347279288,Nicki
74,ILSVRC2012_val_00023750.JPEG,0.875,0.7142857142857143,0.5,0.5,0.3333333333333333,4.505456673639644,Nicki
75,ILSVRC2012_val_00025106.JPEG,0.875,0.6666666666666666,0.5,0.5773502691896258,0.3333333333333333,4.505456673639644,Nicki
76,ILSVRC2012_val_00026219.JPEG,0.875,0.7142857142857143,0.5,0.5,0.3333333333333333,4.505456673639644,Nicki
77,ILSVRC2012_val_00030117.JPEG,0.8125,0.6282051282051282,0.4,0.40824829046386313,0.25,6.758185010459466,Nicki
78,ILSVRC2012_val_00030263.JPEG,0.875,0.7142857142857143,0.5,0.5,0.3333333333333333,4.505456673639644,Nicki
