,accuracy,balacc,f1score,cosine,jaccard,logloss
ILSVRC2012_val_00001470.JPEG,0.07389450784407181,0.19853652728701654,0.25335259832253204,0.2691817859936034,0.18896896928773949,2.663428028091124
ILSVRC2012_val_00003768.JPEG,0.09157298542093084,0.1276777084139924,0.17805351220426682,0.18025552949656648,0.11468489891280195,3.3006249463187114
ILSVRC2012_val_00003808.JPEG,0.06805577003354435,0.1864197704234023,0.32939747312215584,0.33243282516092254,0.32598775745859637,2.452978586218539
ILSVRC2012_val_00007306.JPEG,0.04360491589373705,0.01760017569647221,0.030582639710080517,0.05079541344394356,0.025374327333997804,1.5716804745354622
ILSVRC2012_val_00009634.JPEG,0.05408524169664419,0.12965732582139822,0.1839110304442585,0.19043884556195229,0.1532591920368821,1.9494297051804717
ILSVRC2012_val_00010411.JPEG,0.03949827587382804,0.07959158903781316,0.08533100312437625,0.10004112021287409,0.07128473546450842,1.4236621650639858
ILSVRC2012_val_00014415.JPEG,0.10238171015189934,0.09753133092650046,0.14836293864522132,0.150567322884971,0.10157503684475977,3.690210874100117
ILSVRC2012_val_00015178.JPEG,0.0735638819894735,0.10356535305984127,0.18965571523114755,0.1911904031239673,0.15166487041793797,2.6515110643865025
ILSVRC2012_val_00015410.JPEG,0.05408524169664419,0.1611852058307336,0.2749665098196733,0.2770516010403967,0.2878530479580014,1.9494297051804717
ILSVRC2012_val_00017515.JPEG,0.03348629259260216,0.041684081347937996,0.05150975399680402,0.0536745836899446,0.05253254192331119,1.2069683234943138
ILSVRC2012_val_00018867.JPEG,0.04631583391111416,0.0806255180088018,0.21223152164395753,0.21697688052792885,0.15917364123296812,1.6693918639201177
ILSVRC2012_val_00021683.JPEG,0.036947253922035905,0.10556358263438836,0.15172457218491803,0.1597556772300074,0.11379342913868853,1.3317140140455628
ILSVRC2012_val_00021882.JPEG,0.05408524169664419,0.08683634042759769,0.17057742888491442,0.1764339598612249,0.11090820780941965,1.9494297051804725
ILSVRC2012_val_00023283.JPEG,0.04837531080528101,0.11143263553320792,0.25188217035922,0.2702214450237421,0.1824347216662458,1.7436229352563632
ILSVRC2012_val_00023750.JPEG,0.07775243381010322,0.19805483666070323,0.29218046986770874,0.29842357126544394,0.2470177808592755,2.8024817744116337
ILSVRC2012_val_00025106.JPEG,0.06087093122243936,0.12207210887509501,0.230493113058383,0.24435252133347263,0.18470241913791452,2.194010746454392
ILSVRC2012_val_00026219.JPEG,0.03949827587382804,0.15859651665333274,0.22571195692046342,0.24186479988990528,0.1653589866991655,1.4236621650639867
ILSVRC2012_val_00030117.JPEG,0.03949827587382804,0.024306631306971083,0.037767575475025406,0.04052760479572737,0.027805090530417492,1.4236621650639876
ILSVRC2012_val_00030263.JPEG,0.036947253922035905,0.10824404374411822,0.151129302215532,0.15379653716631414,0.19350124322112416,1.331714014045562
ILSVRC2012_val_00030540.JPEG,0.03348629259260216,0.14751947503758966,0.2603292978938375,0.37167348607609085,0.20733982349360858,1.2069683234943147
ILSVRC2012_val_00030756.JPEG,0.03348629259260216,0.1404767100708837,0.2626627096165559,0.1427493109522292,0.27617427482624324,1.2069683234943138
ILSVRC2012_val_00036975.JPEG,0.0811278625449664,0.12531444272045122,0.22090803419141924,0.227324447897573,0.17608944222814865,2.924144557770708
ILSVRC2012_val_00039246.JPEG,0.04631583391111416,0.04958879700233543,0.07272176676645192,0.07040006539391808,0.0732757707995203,1.6693918639201168
ILSVRC2012_val_00040002.JPEG,0.09023216653788158,0.17803309053338212,0.29169187342238856,0.29262297147995675,0.2870993073399847,3.252296935240496
ILSVRC2012_val_00040676.JPEG,0.04786874908905736,0.11550091017981268,0.21146586997522032,0.1952698498224773,0.18132916202797655,1.7253646003366025
ILSVRC2012_val_00040913.JPEG,0.07868736640569252,0.07662959601844099,0.13136502174589892,0.13247221412690435,0.13752107525484897,2.836180160829242
ILSVRC2012_val_00041922.JPEG,0.05585899743112166,0.09939665486585703,0.15334965047299298,0.1422811546547883,0.21210079694929762,2.0133623420709346
ILSVRC2012_val_00046002.JPEG,0.04786874908905736,0.08231572667478648,0.12177818053358519,0.12292460778343295,0.10427012853809375,1.7253646003366025
ILSVRC2012_val_00049179.JPEG,0.08720983178747399,0.14021740717945508,0.20971965083365154,0.22230672585417485,0.14080949151303487,3.1433609490709244
ILSVRC2012_val_00049472.JPEG,0.05883453481676304,0.08948476326200128,0.1477890156881437,0.1477890156881437,0.09852601045876244,2.1206115802453525
